Year,State,Income Level,Percent of Total,Number of Households
2009,Alabama,"$10,000 to $14,999",7.42%,"134,988"
2009,Alabama,"$15,000 to $19,999",6.87%,"125,046"
2009,Alabama,"$20,000 to $24,999",6.61%,"120,178"
2009,Alabama,"$25,000 to $29,999",6.07%,"110,437"
2009,Alabama,"$30,000 to $34,999",5.78%,"105,216"
2009,Alabama,"$35,000 to $39,999",5.36%,"97,549"
2009,Alabama,"$40,000 to $44,999",5.02%,"91,415"
2009,Alabama,"$45,000 to $49,999",4.38%,"79,708"
2009,Alabama,"$50,000 to $59,999",8.22%,"149,589"
2009,Alabama,"$60,000 to $74,999",9.37%,"170,463"
2009,Alabama,"$75,000 to $99,999",10.51%,"191,272"
2009,Alabama,"$100,000 to $124,999",5.96%,"108,519"
2009,Alabama,"$125,000 to $149,999",3.05%,"55,565"
2009,Alabama,"$150,000 to $199,999",2.53%,"46,035"
2009,Alabama,"$200,000 or more",2.20%,"39,992"
2009,Alabama,"Less than $10,000",10.63%,"193,469"
2009,Alaska,"$10,000 to $14,999",3.84%,"9,008"
2009,Alaska,"$15,000 to $19,999",3.55%,"8,340"
2009,Alaska,"$20,000 to $24,999",4.22%,"9,918"
2009,Alaska,"$25,000 to $29,999",4.41%,"10,358"
2009,Alaska,"$30,000 to $34,999",4.37%,"10,268"
2009,Alaska,"$35,000 to $39,999",4.19%,"9,829"
2009,Alaska,"$40,000 to $44,999",4.53%,"10,628"
2009,Alaska,"$45,000 to $49,999",4.43%,"10,393"
2009,Alaska,"$50,000 to $59,999",8.34%,"19,589"
2009,Alaska,"$60,000 to $74,999",11.32%,"26,588"
2009,Alaska,"$75,000 to $99,999",15.32%,"35,969"
2009,Alaska,"$100,000 to $124,999",10.69%,"25,090"
2009,Alaska,"$125,000 to $149,999",6.43%,"15,090"
2009,Alaska,"$150,000 to $199,999",6.04%,"14,169"
2009,Alaska,"$200,000 or more",4.07%,"9,559"
2009,Alaska,"Less than $10,000",4.25%,"9,983"
2009,Arizona,"$10,000 to $14,999",5.06%,"113,771"
2009,Arizona,"$15,000 to $19,999",5.22%,"117,428"
2009,Arizona,"$20,000 to $24,999",5.74%,"129,134"
2009,Arizona,"$25,000 to $29,999",5.68%,"127,613"
2009,Arizona,"$30,000 to $34,999",5.76%,"129,527"
2009,Arizona,"$35,000 to $39,999",5.41%,"121,730"
2009,Arizona,"$40,000 to $44,999",5.31%,"119,477"
2009,Arizona,"$45,000 to $49,999",4.73%,"106,383"
2009,Arizona,"$50,000 to $59,999",8.63%,"193,921"
2009,Arizona,"$60,000 to $74,999",10.63%,"239,002"
2009,Arizona,"$75,000 to $99,999",12.38%,"278,303"
2009,Arizona,"$100,000 to $124,999",7.45%,"167,597"
2009,Arizona,"$125,000 to $149,999",4.16%,"93,591"
2009,Arizona,"$150,000 to $199,999",3.61%,"81,181"
2009,Arizona,"$200,000 or more",3.42%,"76,876"
2009,Arizona,"Less than $10,000",6.79%,"152,636"
2009,Arkansas,"$10,000 to $14,999",7.85%,"87,121"
2009,Arkansas,"$15,000 to $19,999",7.29%,"80,945"
2009,Arkansas,"$20,000 to $24,999",7.29%,"80,938"
2009,Arkansas,"$25,000 to $29,999",6.61%,"73,323"
2009,Arkansas,"$30,000 to $34,999",6.43%,"71,366"
2009,Arkansas,"$35,000 to $39,999",5.74%,"63,707"
2009,Arkansas,"$40,000 to $44,999",5.28%,"58,603"
2009,Arkansas,"$45,000 to $49,999",4.77%,"52,973"
2009,Arkansas,"$50,000 to $59,999",8.40%,"93,175"
2009,Arkansas,"$60,000 to $74,999",9.26%,"102,735"
2009,Arkansas,"$75,000 to $99,999",9.54%,"105,867"
2009,Arkansas,"$100,000 to $124,999",4.87%,"54,018"
2009,Arkansas,"$125,000 to $149,999",2.49%,"27,585"
2009,Arkansas,"$150,000 to $199,999",2.02%,"22,426"
2009,Arkansas,"$200,000 or more",1.76%,"19,484"
